,location,In_autonomy,Description
381,Lincoln Way at 17th Avenue,1,"On April 24, 2022 at 4:36 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Lincoln Way at 17th Avenue. The Waymo AV was in autonomous mode and traveling on westbound Lincoln Way, when it slowed for the vehicle directly in front of the Waymo AV, which stopped shortly after passing 17th Avenue. Shortly after the Waymo AV came to a stop, the SUV behind the Waymo AV was rear-ended by a pickup truck, and the SUV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
385,175 Bayshore Boulevard,1,"On May 4, 2022 at 1:26 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at the northbound merge lane on the 100 block of Bayshore Boulevard. While attempting a merge onto northbound Bayshore Boulevard from southbound Bayshore Boulevard, the Waymo AV came to a stop to yield for approaching traffic on the right. While stopped, a vehicle approached from behind and made contact with the rear bumper of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
387,Stanyan Street and McAllister Street,1,"On May 17, 2022 at 1:26 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Stanyan Street at McAllister Street.The Waymo AV was proceeding south on Stanyan Street in autonomous mode, and preparing to make a left turn onto McAllister Street. As the Waymo AV entered the intersection, it slowed to yield to northbound traffic on Stanyan Street. A passenger car approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
389,Bush Street at Stockton Street,1,"On May 27th, 2022 at 1:16AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a motorcycle on Bush Street at Stockton Street.While the Waymo AV was stopped at a red light on eastbound Bush in the rightmost lane, a motorcycle approached the Waymo AV from behind and the front of the motorcycle made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
390,McAllister Street and Franklin Street,1,"On June 1, 2022 at 7:26 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on McAllister Street at Franklin Street.While the Waymo AV was stopped at a red light on eastbound McAllister Street, an SUV that had previously been stopped behind the Waymo AV rolled forward and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
391,Bush Street and Gough Street,1,"On June 5, 2022 at 10:07 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Bush Street and Gough Street.The Waymo AV was stopped in autonomous mode behind stopped traffic facing east on Bush Street. The passenger vehicle ahead of the Waymo AV transitioned into reverse and began to accelerate, making contact with the front sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
392,Embarcadero at Broadway,1,"On July 2, 2022 at 6:54 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on the Embarcadero at Broadway. The Waymo AV was stopped in the dedicated left turn lane facing north on the Embarcadero, awaiting a green signal for a protected left turn onto Broadway. The signal for traffic proceeding north on the Embarcadero turned green, and traffic in adjacent lanes began moving. The left turn arrow signal for the dedicated turn lane occupied by the Waymo AV remained red. The passenger car that had been stopped directly behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV, immediately after which the passenger car left the scene.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage and the Waymo AV test driver reported lower back pain."
395,17th Street at Wisconsin Street,1,"On July 5, 2022 at 3:26 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle on 17th Street at Wisconsin Street. The Waymo AV was traveling westbound on 17th Street when it detected a siren from a nearby emergency vehicle. As the Waymo AV slowed, a passenger vehicle made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage."
397,15th Street at Albion Street,1,"On August 25, 2022 at 6:05 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van on 15th Street at Albion Street.The Waymo AV was traveling west on 15th street and came to a stop behind a double-parked vehicle in the right lane. Shortly after coming to a stop, a van approached from behind and made contact with the rear of the Waymo AV. The van then changed lanes and left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained moderate damage."
400,8th Avenue at Lake Street,1,"On September 2, 2021 at 1:56 AM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving an unoccupied parked passenger vehicle at the north end of 8th Avenue (a dead-end road). While performing a multipoint turn in autonomous mode, the Waymo AV was reversing at approximately 2 MPH when it made contact with the rear tail light of an unoccupied parked passenger vehicle. The contact caused a small break in the tail light cover of the parked vehicle and minor damage to the rear bumper of the Waymo AV."
401,2121 Evans Avenue,1,"On September 10th, 2022 at 12:57 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a pickup truck in a parking lot at 2121 Evans Avenue.The Waymo AV came to a stop in the parking lot while yielding to both pedestrians and an oncoming pickup truck. While the Waymo AV was stopped, the oncoming pickup truck passed the Waymo AV on the left hand side, making contact with the rear left sensor of the Waymo AV. The pickup truck then left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was stationary and engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
402,California Street at 19th Avenue,1,"On September 15, 2022 at 9:42 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on California Street at 19th Avenue.The Waymo AV stopped at a stop sign facing east on California Street at 19th Avenue. A passenger car approaching from behind made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
406,Potrero Avenue and 24th Street,1,"On September 17, 2022 at 6:38 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Potrero Avenue and 24th Street.While traveling northbound on Potrero Avenue, the Waymo AV changed lanes from the center lane to the right lane before slowing to a stop at a red light at 24th Street. While the Waymo AV was making the lane change, the vehicle immediately behind the Waymo AV in the right lane moved to the center lane and made contact with the right rear sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The SUV sustained damage."
410,Cesar Chavez and Evans Avenue,1,"On October 18, 2021 at 12:57 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Cesar Chavez and Evans Avenue. As the Waymo AV approached a right turn from Cesar Chavez onto Evans Avenue, it braked behind stopped traffic. An SUV following behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. The Waymo AV sustained minor damage to its rear bumper and trunk, and the SUV sustained minor damage to its front bumper and hood."
